Timestamp,Snow_Celsius,Snow_Fahrenheit
2023-05-15 05:43:05,  012.000,  053.487
2023-05-15 05:44:02,  012.375,  054.275
2023-05-15 05:45:00,  049.812,  121.662
2023-05-15 05:45:57,  047.937,  118.175
2023-05-15 05:46:55,  045.687,  114.237
2023-05-15 05:47:52,  043.875,  110.862
2023-05-15 05:48:50,  042.250,  108.050
2023-05-15 05:49:47,  040.812,  105.462
2023-05-15 05:50:45,  039.437,  102.875
2023-05-15 05:51:42,  038.250,  100.737
2023-05-15 05:52:40,  037.250,  098.937
2023-05-15 05:53:37,  036.187,  097.137
2023-05-15 05:54:34,  035.437,  095.675
2023-05-15 05:55:32,  034.562,  094.212
2023-05-15 05:56:29,  033.750,  092.750
2023-05-15 05:57:27,  033.062,  091.625
2023-05-15 05:58:24,  032.375,  090.275
2023-05-15 05:59:22,  031.750,  089.150
2023-05-15 06:00:19,  031.125,  088.025
2023-05-15 06:01:17,  030.500,  086.900
2023-05-15 06:02:14,  030.062,  086.112
2023-05-15 06:03:12,  029.500,  085.100
2023-05-15 06:04:09,  029.000,  084.087
2023-05-15 06:05:07,  020.187,  068.112
2023-05-15 06:06:04,  012.250,  053.937
2023-05-15 06:07:01,  009.562,  049.212
2023-05-15 06:07:59,  008.125,  046.625
2023-05-15 06:08:56,  006.687,  043.925
2023-05-15 06:09:54,  005.875,  042.575
2023-05-15 06:10:51,  005.500,  041.787
2023-05-15 06:11:49,  006.812,  044.375
2023-05-15 06:12:46,  006.812,  044.375
2023-05-15 06:13:44,  006.625,  044.037
2023-05-15 06:14:41,  006.500,  043.700
2023-05-15 06:15:39,  006.500,  043.700
2023-05-15 06:16:36,  006.375,  043.475
2023-05-15 06:17:34,  006.312,  043.362
2023-05-15 06:18:31,  006.312,  043.362
2023-05-15 06:19:28,  006.375,  043.362
2023-05-15 06:20:26,  006.437,  043.587
2023-05-15 06:21:23,  006.562,  043.812
2023-05-15 06:22:21,  006.562,  043.925
2023-05-15 06:23:18,  006.750,  044.262
2023-05-15 06:24:16,  006.812,  044.375
2023-05-15 06:25:13,  007.000,  044.600
2023-05-15 06:26:11,  007.187,  044.937
2023-05-15 06:27:08,  007.312,  045.162
2023-05-15 06:28:06,  007.437,  045.500
2023-05-15 06:29:03,  007.562,  045.725
2023-05-15 06:30:00,  007.687,  045.837
2023-05-15 06:30:58,  007.875,  046.175
2023-05-15 06:31:55,  007.937,  046.175
2023-05-15 06:32:53,  008.000,  046.400
2023-05-15 06:33:50,  008.125,  046.625
2023-05-15 06:34:48,  008.250,  046.850
2023-05-15 06:35:45,  008.312,  046.850
2023-05-15 06:36:43,  008.375,  047.187
2023-05-15 06:37:40,  008.500,  047.412
2023-05-15 06:38:38,  008.562,  047.412
2023-05-15 06:39:35,  008.625,  047.637
2023-05-15 06:40:33,  008.750,  047.750
2023-05-15 06:41:30,  008.875,  047.862
2023-05-15 06:42:28,  008.937,  048.087
2023-05-15 06:43:25,  009.000,  048.200
2023-05-15 06:44:22,  009.062,  048.312
2023-05-15 06:45:20,  009.125,  048.537
2023-05-15 06:46:17,  009.250,  048.762
2023-05-15 06:47:15,  009.312,  048.762
2023-05-15 06:48:12,  009.437,  048.875
2023-05-15 06:49:10,  009.562,  049.212
2023-05-15 06:50:07,  009.625,  049.212
2023-05-15 06:51:05,  009.625,  049.325
2023-05-15 06:52:02,  009.687,  049.437
2023-05-15 06:53:00,  009.812,  049.662
2023-05-15 06:53:57,  009.812,  049.662
2023-05-15 06:54:55,  009.875,  049.887
2023-05-15 06:55:52,  009.937,  050.000
2023-05-15 06:56:50,  010.000,  050.000
2023-05-15 06:57:47,  010.125,  050.337
2023-05-15 06:58:44,  010.187,  050.450
2023-05-15 06:59:42,  010.250,  050.450
2023-05-15 07:00:39,  010.375,  050.675
2023-05-15 07:01:37,  010.437,  050.787
2023-05-15 07:02:34,  010.500,  050.787
2023-05-15 07:03:32,  010.437,  050.900
2023-05-15 07:04:29,  010.562,  051.012
2023-05-15 07:05:27,  010.562,  051.237
2023-05-15 07:06:24,  010.687,  051.237
2023-05-15 07:07:22,  010.687,  051.237
2023-05-15 07:08:19,  010.812,  051.462
